^0
Haikyuu!!^11.336834424259328
Kuroko no Basket 2nd Season^10.733177787794283
Kuroko no Basket^10.26802014266466
Haikyuu!! Second Season^10.05504201154258
Kuroko no Basket 3rd Season^9.886686381236721
Boku no Hero Academia^8.9549871778412
Shigatsu wa Kimi no Uso^8.162531069086516
Shokugeki no Souma^7.673409770128435
Diamond no Ace^7.331556957874536
Noragami Aragoto^7.173679945393481
Yowamushi Pedal^7.088850950069053
One Punch Man^7.059565873981298
Noragami^7.018580919597966
Death Parade^6.974294040411662
Kiseijuu: Sei no Kakuritsu^6.88232712089746
Baby Steps 2nd Season^6.7520778808497
Baby Steps^6.717776161716925
Barakamon^6.7107829814413655
Tokyo Ghoul^6.698548579584401
Nanatsu no Taizai^6.668145172322777
Death Note^6.502791151582297
Yowamushi Pedal: Grande Road^6.475047498976467
Arslan Senki (TV)^6.46641525644876
Owari no Seraph^6.453384877547026
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou^6.45280721933938
Boku dake ga Inai Machi^6.440634795720895
Durarara!!x2 Shou^6.411987723768654
Gangsta.^6.395187173285775
Shingeki no Kyojin^6.3892025103691426
Kuroko no Basket: Tip Off^6.376971500064835
Shokugeki no Souma: Ni no Sara^6.328103650946146
Diamond no Ace: Second Season^6.319892799436094
Hunter x Hunter (2011)^6.313199544175256
ReLIFE^6.309612132332847
Yamada-kun to 7-nin no Majo (TV)^6.306618704306317
Zankyou no Terror^6.293522333889328
Ansatsu Kyoushitsu (TV)^6.267935917696961
Magi: The Kingdom of Magic^6.265509799686768
Charlotte^6.2625790263571925
Koutetsujou no Kabaneri^6.241093150786813
Gekkan Shoujo Nozaki-kun^6.203401626586496
Ore Monogatari!!^6.178028521814946
Tokyo Ghoul √A^6.1642716183623545
Owari no Seraph: Nagoya Kessen-hen^6.162693275903928
Free!^6.0548218567421
Free!: Eternal Summer^6.045733655722609
Ansatsu Kyoushitsu (TV) 2nd Season^6.018787028474353
Durarara!!x2 Ten^6.0030512044498145
Ao Haru Ride^5.931885088739822
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku^5.870859393960882
Bungou Stray Dogs^5.865612070199578
Psycho-Pass^5.826438252853863
Magi: The Labyrinth of Magic^5.805331430473716
