.hack//G.U. Returner
.hack//G.U. Trilogy
.hack//G.U. Trilogy: Parody Mode
.hack//Intermezzo
.hack//Liminality
.hack//Quantum
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!
.hack//Roots
.hack//Sign
.hack//Tasogare no Udewa Densetsu
.hack//The Movie: Sekai no Mukou ni
.hack//Unison
.hack//Versus: The Thanatos Report
009 Re:Cyborg
07-Ghost
1000-nen Joou: Queen Millennia
11-nin Iru!
12-sai.
12-sai.: Chicchana Mune no Tokimeki
15 Bishoujo Hyouryuuki
3 Choume no Tama: Uchi no Tama Shirimasenka?
3-gatsu no Lion
3-gatsu no Lion meets Bump of Chicken
30-sai no Hoken Taiiku
300 En no Otsukiai
30th Gundam Perfect Mission
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation
3x3 Eyes
3x3 Eyes Seima Densetsu
91 Days
A Kite
A-Channel
A-Channel+smile
A-Channel: +A-Channel
AKB0048
AKB0048: Next Stage
Aa! Megami-sama!
Aa! Megami-sama! (2011)
Aa! Megami-sama! (TV)
Aa! Megami-sama! (TV) Specials
Aa! Megami-sama! Movie
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne
Aa! Megami-sama!: Sorezore no Tsubasa
Aa! Megami-sama!: Sorezore no Tsubasa Specials
Aa! Megami-sama!: Tatakau Tsubasa
Aachi wa Ssipak
Abenobashi Mahou☆Shoutengai
Absolute Duo
Accel World
Accel World EX
Accel World: Infinite∞Burst
Accelerando: Datenshi-tachi no Sasayaki
Acchi Kocchi
Acchi Kocchi (TV)
Acchi Kocchi (TV): Place=Princess
Ace wo Nerae!
Ace wo Nerae! (1979)
Ace wo Nerae! 2
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd
Afro Samurai
Afro Samurai Movie
Afro Samurai Pilot
Afro Samurai: Resurrection
After War Gundam X
Agatha Christie no Meitantei Poirot to Marple
Aggressive Retsuko
Ai Monogatari: 9 Love Stories
Ai Shimai 2: Futari no Kajitsu
Ai Shimai: Futari no Kajitsu
Ai Shoujo Pollyanna Story
Ai Tenshi Densetsu Wedding Peach
Ai Tenshi Densetsu Wedding Peach DX
Ai Yori Aoshi
Ai Yori Aoshi: Enishi
Ai Yori Aoshi: Enishi - Miyuki
Ai Yori Aoshi: Yumegatari
Ai no Gakko Cuore Monogatari
Ai no Kusabi
Ai no Kusabi (2012)
Ai no Wakakusa Monogatari
Ai to Yuuki no Pig Girl Tonde Buurin
Aikatsu Stars!
Aikatsu!
Aikatsu! Movie
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!
Aimai Elegy
Air
Air Gear
Air Gear Special
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky
Air Master
Air Movie
Air in Summer
